LOCATION,ADDRESS,BIKE_PARKING,PLACEMENT,RACKS,SPACES,1_STATUS,2_STATUS_HIGH_LEVEL,3_STATUS_DETAIL,4_STATUS_DESCRIPTION,5_ACTING_AGENT,6_ACTION,INSTALLED_BY,YR_INSTALLED,COORDINATES
Peabody Elementary School,251 06TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.78393400, -122.46479400)"
SFPD Richmond Station,461 06TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.780001, -122.464749)"
Little Vietnam Cafe,309 06TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.78269264, -122.46458189)"
Ro Café,110 06TH AVE #6,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.786435, -122.464499)"
Frank McCoppin (SA) CDC,651 06TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.776311, -122.464480)"
West Portal School,5 LENOX WAY,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.742874, -122.464349)"
G-O glow,550 IRVING ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.764304, -122.463898)"
Loving Hut ,524 IRVING ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.76442000, -122.46361225)"
Genki Ramen,3944 GEARY BLVD,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.781438, -122.461866)"
Cumaica Coffee,200 CLEMENT ST,RACK,PARKING_LANE,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.783334, -122.461400)"
Elevate Group Fitness,1720 OCEAN AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.724988, -122.460192)"
Laundromat,201 BROAD ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,SUPPLY MEETS DEMAND,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.712993, -122.459273)"
Jojo's Cafe,1537 OCEAN AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.724179, -122.458876)"
Cosmopolitan Baptist Church,199 FARALLONES ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.713941, -122.458757)"
Ingleside Presbyterian Church,1325 OCEAN AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.723696, -122.456658)"
Courtney Glass,201 PLYMOUTH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.712435, -122.456280)"
